"filename", "language", "TypeScript", "Ruby", "JSON with Comments", "JSON", "JavaScript", "HTML", "Properties", "Markdown", "CSS", "Python", "YAML", "Batch", "pip requirements", "comment", "blank", "total"
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\PI-Manager-AllInOne.spec", "Ruby", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 100
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\app\cache.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 6, 15, 108
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\app\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 8, 41
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\app\migration_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 22, 35, 243
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\config\product_categories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 6, 36
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\customer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 3, 44, 211
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\customer_product.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 575, 0, 0, 0, 50, 144, 769
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\customer_reply.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 32, 142
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\inventory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 564, 0, 0, 0, 29, 86, 679
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\memo_record.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 11, 52
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\order_file.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 9, 49
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\payment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 16, 55, 352
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\pending_shipment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 14, 81
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\pi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1376, 0, 0, 0, 138, 206, 1720
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\pi_sync.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 650, 0, 0, 0, 60, 146, 856
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 2, 37, 202
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product_category.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 5, 14, 90
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product_customer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 1, 27, 119
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product_oe.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 22, 95
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product_search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 10, 39, 328
"d:\TraeProjects\PI Manager\worktrees\frontend-repo\backend\crud\product_supplier.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 10, 19, 137
